5,300,B,300,7,1204.0
5,300,C,300,7,1204.0
5,300,D,499,7,1204.0
5,300,E,300,7,1204.0
1,300,A,300,8,1376.0
1,300,B,300,8,1376.0
1,300,C,300,8,1376.0
1,300,D,499,8,1376.0
1,300,E,300,8,1376.0
2,300,A,300,8,1376.0
2,300,B,300,8,1376.0
2,300,C,300,8,1376.0
2,300,D,499,8,1376.0
2,300,E,300,8,1376.0
3,300,A,300,8,1376.0
3,300,B,300,8,1376.0
3,300,C,300,8,1376.0
3,300,D,499,8,1376.0
3,300,E,300,8,1376.0
4,300,A,300,8,1376.0
4,300,B,300,8,1376.0
4,300,C,300,8,1376.0
4,300,D,499,8,1376.0
4,300,E,300,8,1376.0
5,300,A,300,8,1376.0
5,300,B,300,8,1376.0
5,300,C,300,8,1376.0
5,300,D,499,8,1376.0
5,300,E,300,8,1376.0
1,300,A,300,9,1548.0
1,300,B,300,9,1548.0
1,300,C,300,9,1548.0
1,300,D,499,9,1548.0
1,300,E,300,9,1548.0
2,300,A,300,9,1548.0
2,300,B,300,9,1548.0
2,300,C,300,9,1548.0
2,300,D,499,9,1548.0
2,300,E,300,9,1548.0
3,300,A,300,9,1548.0
3,300,B,300,9,1548.0
3,300,C,300,9,1548.0
3,300,D,499,9,1548.0
3,300,E,300,9,1548.0
4,300,A,300,9,1548.0
4,300,B,300,9,1548.0
4,300,C,300,9,1548.0
4,300,D,499,9,1548.0
4,300,E,300,9,1548.0
5,300,A,300,9,1548.0
5,300,B,300,9,1548.0
5,300,C,300,9,1548.0
5,300,D,499,9,1548.0
5,300,E,300,9,1548.0
1,300,A,300,10,1720.0
1,300,B,300,10,1720.0
1,300,C,300,10,1720.0
1,300,D,499,10,1720.0
1,300,E,300,10,1720.0
2,300,A,300,10,1720.0
2,300,B,300,10,1720.0
2,300,C,300,10,1720.0
2,300,D,499,10,1720.0
2,300,E,300,10,1720.0
3,300,A,300,10,1720.0
3,300,B,300,10,1720.0
3,300,C,300,10,1720.0
3,300,D,499,10,1720.0
3,300,E,300,10,1720.0
4,300,A,300,10,1720.0
4,300,B,300,10,1720.0
4,300,C,300,10,1720.0
4,300,D,499,10,1720.0
4,300,E,300,10,1720.0
5,300,A,300,10,1720.0
5,300,B,300,10,1720.0
5,300,C,300,10,1720.0
5,300,D,499,10,1720.0
5,300,E,300,10,1720.0
1,300,A,300,11,1892.0
1,300,B,300,11,1892.0
1,300,C,300,11,1892.0
1,300,D,499,11,1892.0
1,300,E,300,11,1892.0
2,300,A,300,11,1892.0
2,300,B,300,11,1892.0
2,300,C,300,11,1892.0
2,300,D,499,11,1892.0
2,300,E,300,11,1892.0
3,300,A,300,11,1892.0
3,300,B,300,11,1892.0
3,300,C,300,11,1892.0
3,300,D,499,11,1892.0
3,300,E,300,11,1892.0
4,300,A,300,11,1892.0
4,300,B,300,11,1892.0
4,300,C,300,11,1892.0
4,300,D,499,11,1892.0
4,300,E,300,11,1892.0
5,300,A,300,11,1892.0
5,300,B,300,11,1892.0
5,300,C,300,11,1892.0
5,300,D,499,11,1892.0
5,300,E,300,11,1892.0
1,300,A,300,12,2064.0
1,300,B,300,12,2064.0
1,300,C,300,12,2064.0
1,300,D,499,12,2064.0
1,300,E,300,12,2064.0
2,300,A,300,12,2064.0
2,300,B,300,12,2064.0
2,300,C,300,12,2064.0
2,300,D,499,12,2064.0
2,300,E,300,12,2064.0
3,300,A,300,12,2064.0
3,300,B,300,12,2064.0
3,300,C,300,12,2064.0
3,300,D,499,12,2064.0
3,300,E,300,12,2064.0
4,300,A,300,12,2064.0
4,300,B,300,12,2064.0
4,300,C,300,12,2064.0
4,300,D,499,12,2064.0
4,300,E,300,12,2064.0
5,300,A,300,12,2064.0
5,300,B,300,12,2064.0
5,300,C,300,12,2064.0
5,300,D,499,12,2064.0
5,300,E,300,12,2064.0
1,300,A,300,13,2236.0
1,300,B,300,13,2236.0
1,300,C,300,13,2236.0
1,300,D,499,13,2236.0
1,300,E,300,13,2236.0
2,300,A,300,13,2236.0
2,300,B,300,13,2236.0
2,300,C,300,13,2236.0
2,300,D,499,13,2236.0
2,300,E,300,13,2236.0
3,300,A,300,13,2236.0
3,300,B,300,13,2236.0
3,300,C,300,13,2236.0
3,300,D,499,13,2236.0
3,300,E,300,13,2236.0
4,300,A,300,13,2236.0
4,300,B,300,13,2236.0
4,300,C,300,13,2236.0
4,300,D,499,13,2236.0
4,300,E,300,13,2236.0
5,300,A,300,13,2236.0
5,300,B,300,13,2236.0
5,300,C,300,13,2236.0
5,300,D,499,13,2236.0
5,300,E,300,13,2236.0
